year,avg_temp,city
1927,18.53,Athens
1928,17.77,Athens
1929,17.18,Athens
1930,17.92,Athens
1931,17.67,Athens
1932,17.69,Athens
1933,16.78,Athens
1934,18.08,Athens
1935,18.09,Athens
1936,17.90,Athens
1937,18.40,Athens
1938,17.62,Athens
1939,18.03,Athens
1940,17.13,Athens
1941,17.51,Athens
1942,17.38,Athens
1943,17.69,Athens
1944,17.47,Athens
1945,17.70,Athens
1946,18.29,Athens
1947,18.39,Athens
1948,17.18,Athens
1949,16.87,Athens
1950,18.08,Athens
1951,18.13,Athens
1952,18.61,Athens
1953,17.04,Athens
1954,17.50,Athens
1955,18.12,Athens
1956,17.12,Athens
1957,17.57,Athens
1958,17.94,Athens
1959,16.98,Athens
1960,18.24,Athens
1961,17.85,Athens
1962,18.19,Athens
1963,18.08,Athens
1964,17.19,Athens
1965,17.34,Athens
1966,18.37,Athens
1967,17.49,Athens
1968,17.70,Athens
1969,17.59,Athens
1970,17.80,Athens
1971,17.27,Athens
1972,17.28,Athens
1973,17.41,Athens
1974,17.34,Athens
1975,17.41,Athens
1976,16.79,Athens
1977,17.80,Athens
1978,17.40,Athens
1979,17.80,Athens
1980,17.34,Athens
1981,17.69,Athens
1982,17.11,Athens
1983,17.09,Athens
1984,17.53,Athens
1985,17.82,Athens
1986,17.82,Athens
1987,17.32,Athens
1988,17.66,Athens
1989,17.48,Athens
1990,18.05,Athens
1991,17.07,Athens
1992,17.13,Athens
1993,17.53,Athens
1994,18.47,Athens
1995,17.82,Athens
1996,17.46,Athens
1997,17.35,Athens
1998,18.15,Athens
1999,18.82,Athens
2000,18.20,Athens
2001,18.67,Athens
2002,18.33,Athens
2003,17.95,Athens
2004,18.07,Athens
2005,17.91,Athens
2006,17.78,Athens
2007,18.67,Athens
2008,18.61,Athens
2009,18.52,Athens
2010,19.30,Athens
2011,17.67,Athens
2012,18.82,Athens
2013,19.36,Athens
